city_name,charger_count,avg_lat,avg_lon
Ongole,2,15.6382976,80.0167529
Ooty,2,11.3829987,76.7507875
Palani,2,10.4425816,77.5203903
Kasauli,2,30.879,76.9948
Kasargod,2,12.51382323,75.02713173
Kevadia,2,21.885704,73.688136
Keonjhar,2,20.9187324,86.2169827
Kisangarh,2,31.431348,75.620357
Panchgani,2,17.9335258,73.8158574
Khatauli,2,29.3105,77.7218
Khursipar,2,21.206036,81.3418606
Patna,2,25.634199,85105514.0
Perunnermangalam,2,9.63628,76.3352
Perambalur,2,11.2064644,78.8812406
Patparkang,2,28.62145,77.293556
Kamod,2,22.9247437,72.5434955
Karad,2,17.28566685,74.17330430999999
Kalinganagar,2,20.964722265,86.00852649999999
Proddatur,2,14.7529922,78.5550768
Jajpur,2,20.9238315,86.2494284
Jeypore,2,18.8580983,82.5899867
Junagadh,2,21.52840996,70.45845795
Jorhat,2,26.7470487,94.1680718
Karimnagar,2,18.417928,79.13639
Kallakurichi,2,11.71881,79.33575
Erode,2,11.30199446,77.60004376
Hisar,2,29.1259617,75.8027817
Hassan,2,12.99125845,76.14278703
Hiriyur,2,13.9241147,76.6400077
Guruvayur,2,10.5955128,76.0443322
Karjan,2,22.024178835,73.117516385
Jagdalpur,2,19.0657802,81.9635956
Gorakhpur,2,26.743642,84.263369
Gujarat,2,21.62925,72.36185
Greater Noida,2,28.48275,77.4593
Gangtok,2,27.305524,88.585965
Gaya,2,24.525355,84.932182
Hyderbad,2,17.412399999999998,78.46005
Howrah,2,22.614383,88.273187
Kuttikkanam,2,9.5802797,76.9701859
Namakkal,2,11.19362344,78.10483415
Lonavala,2,18.778022055,73.36187266
Ludhiana,2,30.90350515,75.88163750000001
Madgulapally,2,16.991031,79.44047
Maharashtra,2,19.9519,73.7541
Navsari,2,20.944586795,72.962822
Kodaikanal,2,10.2428087,77.4983634
Naamavaram,2,17.3736805,82.5862594
Latur,2,18.4159831,76.5356299
Ambur,2,12.77988445,78.71776971
Amritsar,2,31.62268845,74.8848595
Angamali,2,10.2230435,76.3755255
Attur,2,11.591985,78.627219
Mettupalayam,2,11.325849999999999,76.90950000000001
Meerut,2,28.97189015,77.69059275
Munnar,2,10.0297934,77.0458592
Moradabad,2,28.828917,78.7328429
Anantapur,2,15.1462972,77.3774561
Anantapuram,2,15.02395,77.620628
Trichur,2,10.569187363603,76.11444951763116
Walayar,2,10.8559461,76.8625309
Thirumangalam,2,9.7590386,77.9791582
Aluva,2,10.0999671,76.3476841
Alappuzha,1,9.5188743,76.3274171
Aligarh,1,28.0236646,77.9738421
Tirupathi,1,13.6253731,79.4322333
Tirur,1,10.9235812,75.9131205
Tiruvannamalai,1,12.23639376,79.08960088
Amravati,1,20.909443,77.7522447
Ananthapur,1,14.65,77.58
Metikuppe,1,11.9377,76.2655
Mira Bhayandar,1,19.2747,72.8856
Mudagere,1,12.6395692,77.1413769
Mudbidri,1,13.074,75.0025
Lonavla,1,18.763,73.4252
Mahad,1,18.0855,73.4309
Mainpuri,1,26.968708,79.019513
Manipal,1,13.3334,74.7884
Marunji,1,18.5808,73.7399
Kodikonda,1,13.83,77.74
Komirepalle,1,16.778579,81.221054
Kottayam,1,9.5447482,76.877561
Kotwan,1,27.8468,77.4082
Kukas,1,27.0307,75.8899
Kundapura,1,13.6186,74.6919
Nainital,1,29.458587,79.145012
Natt,1,30.8219,75.8668
Nemom,1,8.453971667,77.00415034
Palem,1,16.42,77.94
Pallikonda,1,12.9071309,78.9620183
Karkala,1,13.2244,74.9802
Karur,1,10.9577783,78.0605855
Kasara,1,19.62751783,73.44803503
Katra,1,32.9899,74.9255
Kaup,1,13.2338,74.7471
Khalumbre,1,,
Khopoli,1,18.7876,73.3475
Kizhakkummuri,1,10.245487,76.369589
Palyampudur,1,12.0243727,78.0979115
Panchgaon,1,28.323394,76.901196
Panvel,1,18.98164,73.11555
Pathanamthitta,1,9.2744022,76.7637408
Peddapuram,1,17.0758862,82.1217314
